winner_name|loser_name
Matteo Berrettini|Hubert Hurkacz
Cameron Norrie|Taylor Fritz
Stefanos Sakellaridis|Zizou Bergs
Dimitar Kuzmanov|Zizou Bergs
Stan Wawrinka|Alexander Bublik
Jiri Lehecka|Alexander Zverev
Alex De Minaur|Rafael Nadal
Jason Kubler|Albert Ramos
Cameron Norrie|Rafael Nadal
Jason Kubler|Daniel Evans
Matteo Berrettini|Casper Ruud
Borna Gojo|Adrian Mannarino
Arthur Rinderknech|Francisco Cerundolo
Borna Gojo|Federico Coria
Sebastian Korda|Jannik Sinner
Sebastian Korda|Roberto Bautista Agut
Alexei Popyrin|Marcos Giron
Roman Safiullin|Mikael Ymer
Thanasi Kokkinakis|Maxime Cressy
Roberto Bautista Agut|Andrey Rublev
Yoshihito Nishioka|Holger Rune
Alexei Popyrin|Felix Auger Aliassime
Tallon Griekspoor|Benjamin Bonzi
Tallon Griekspoor|Aslan Karatsev
Benjamin Bonzi|Botic Van De Zandschulp
Tallon Griekspoor|Marin Cilic
Benjamin Bonzi|Filip Krajinovic
Pedro Martinez|Sebastian Baez
Benjamin Bonzi|Emil Ruusuvuori
Maximilian Marterer|Laslo Djere
Roberto Carballes Baena|Bernabe Zapata Miralles
Marco Cecchinato|Nikoloz Basilashvili
Tallon Griekspoor|Jaume Munar
Tim Van Rijthoven|Radu Albot
Laslo Djere|Alex Molcan
Maximilian Marterer|Elias Ymer
Richard Gasquet|Cameron Norrie
Richard Gasquet|Constant Lestienne
Richard Gasquet|David Goffin
Laslo Djere|Casper Ruud
Jenson Brooksby|Diego Schwartzman
Laslo Djere|Jaume Munar
Constant Lestienne|Pedro Cachin
Gregoire Barrere|John Isner
Christopher Eubanks|Ugo Humbert
David Goffin|Alexander Bublik
Ben Shelton|Sebastian Baez
Quentin Halys|Alex Molcan
J J Wolf|Adrian Mannarino
Jiri Lehecka|Thiago Monteiro
Soon Woo Kwon|Roberto Bautista Agut
Soon Woo Kwon|Jack Draper
Thanasi Kokkinakis|Miomir Kecmanovic
Jack Draper|Karen Khachanov
Soon Woo Kwon|Mikael Ymer
Thanasi Kokkinakis|Andrey Rublev
Jack Draper|Tommy Paul
Mikael Ymer|Mackenzie Mcdonald
Soon Woo Kwon|Pablo Carreno Busta
Jason Kubler|Tomas Martin Etcheverry
Robin Haase|Benjamin Bonzi
John Millman|Albert Ramos
Marc Andrea Huesler|Arthur Rinderknech
Mackenzie Mcdonald|Daniel Evans
Mikael Ymer|Emil Ruusuvuori
Mackenzie Mcdonald|Brandon Nakashima
Dalibor Svrcina|Jaume Munar
Jason Kubler|Sebastian Baez
Juncheng Shang|Oscar Otte
Yosuke Watanuki|Arthur Rinderknech
John Millman|Marc Andrea Huesler
Rinky Hijikata|Yannick Hanfmann
Lloyd Harris|Lorenzo Musetti
Marton Fucsovics|Federico Coria
Christopher Eubanks|Soon Woo Kwon
Jiri Lehecka|Borna Coric
Denis Kudla|Roman Safiullin
Ugo Humbert|Richard Gasquet
Maxime Cressy|Albert Ramos
Adrian Mannarino|John Isner
Enzo Couacaud|Hugo Dellien
Nicolas Jarry|Miomir Kecmanovic
Andy Murray|Matteo Berrettini
Thanasi Kokkinakis|Fabio Fognini
Brandon Holt|Aleksandar Vukic
Mackenzie Mcdonald|Rafael Nadal
Tallon Griekspoor|Botic Van De Zandschulp
Benjamin Bonzi|Pablo Carreno Busta
Alexei Popyrin|Taylor Fritz
J J Wolf|Diego Schwartzman
Michael Mmoh|Alexander Zverev
Tommy Paul|Alejandro Davidovich Fokina
Jenson Brooksby|Casper Ruud
Karen Khachanov|Frances Tiafoe
Sebastian Korda|Daniil Medvedev
Jiri Lehecka|Cameron Norrie
Sebastian Korda|Hubert Hurkacz
Jiri Lehecka|Felix Auger Aliassime
Ben Shelton|J J Wolf
Tommy Paul|Roberto Bautista Agut
Novak Djokovic|Stefanos Tsitsipas
Federico Coria|Albert Ramos
Hugo Dellien|Juan Manuel Cerundolo
Federico Coria|Francisco Cerundolo
Juan Manuel Cerundolo|Diego Schwartzman
Tomas Barrios Vera|Bernabe Zapata Miralles
Joao Sousa|Cristian Garin
Guido Pella|Andrea Vavassori
Hugo Dellien|Pedro Cachin
Luciano Darderi|Hugo Gaston
Tomas Barrios Vera|Daniel Elahi Galan
Cristian Garin|Pedro Martinez
Joao Sousa|Tomas Martin Etcheverry
Marco Cecchinato|Facundo Bagnis
Yibing Wu|John Isner
Yibing Wu|Taylor Fritz
Yibing Wu|Adrian Mannarino
J J Wolf|Frances Tiafoe
Yibing Wu|Denis Shapovalov
Emilio Gomez|Miomir Kecmanovic
Jack Sock|Ilya Ivashka
Yibing Wu|Michael Mmoh
Maxime Cressy|Holger Rune
Maxime Cressy|Borna Coric
Arthur Fils|Quentin Halys
Quentin Halys|Alejandro Davidovich Fokina
Arthur Fils|Roberto Bautista Agut
Nikoloz Basilashvili|Constant Lestienne
Gregoire Barrere|Alexander Bublik
Arthur Fils|Richard Gasquet
Lorenzo Sonego|Benjamin Bonzi
Radu Albot|Tommy Paul
Adrian Mannarino|J J Wolf
Michael Mmoh|Denis Shapovalov
Mackenzie Mcdonald|Yoshihito Nishioka
Marcos Giron|Ben Shelton
Matija Pecotic|Jack Sock
Aleksandar Vukic|Christopher Eubanks
Denis Kudla|Jordan Thompson
Bernabe Zapata Miralles|Francisco Cerundolo
Juan Pablo Varillas|Lorenzo Musetti
Bernabe Zapata Miralles|Diego Schwartzman
Juan Pablo Varillas|Dominic Thiem
Tomas Martin Etcheverry|Roberto Carballes Baena
Camilo Ugo Carabelli|Daniel Elahi Galan
Dusan Lajovic|Sebastian Baez
Bernabe Zapata Miralles|Pedro Martinez
Dominic Thiem|Alex Molcan
Roberto Carballes Baena|Albert Ramos
Facundo Diaz Acosta|Federico Coria
Daniil Medvedev|Felix Auger Aliassime
Grigor Dimitrov|Alex De Minaur
Jannik Sinner|Stefanos Tsitsipas
Stan Wawrinka|Richard Gasquet
Gijs Brouwer|Holger Rune
Tallon Griekspoor|Alexander Zverev
Grigor Dimitrov|Hubert Hurkacz
Stan Wawrinka|Alexander Bublik
Richard Gasquet|Pablo Carreno Busta
Gijs Brouwer|Marc Andrea Huesler
Gregoire Barrere|David Goffin
Alex De Minaur|Andrey Rublev
Andy Murray|Jiri Lehecka
Jiri Lehecka|Andrey Rublev
Jiri Lehecka|Emil Ruusuvuori
Andy Murray|Alexander Zverev
Alexandre Muller|Botic Van De Zandschulp
Christopher Oconnell|Roberto Bautista Agut
Emil Ruusuvuori|Daniel Evans
Alexandre Muller|Nikoloz Basilashvili
Cameron Norrie|Carlos Alcaraz
Nicolas Jarry|Sebastian Baez
Bernabe Zapata Miralles|Albert Ramos
Dusan Lajovic|Laslo Djere
Nicolas Jarry|Pedro Martinez
Bernabe Zapata Miralles|Francisco Cerundolo
Hugo Dellien|Alex Molcan
Dusan Lajovic|Diego Schwartzman
Nicolas Jarry|Lorenzo Musetti
Daniel Elahi Galan|Pedro Cachin
Alexander Bublik|Grigor Dimitrov
Benjamin Bonzi|Alex De Minaur
Arthur Fils|Stan Wawrinka
Mikael Ymer|David Goffin
Benjamin Bonzi|Maxime Cressy
Stan Wawrinka|Richard Gasquet
Arthur Fils|Jannik Sinner
Leandro Riedi|Arthur Rinderknech
Gregoire Barrere|Marc Andrea Huesler
Arthur Fils|Roman Safiullin
Tommy Paul|Taylor Fritz
Alex De Minaur|Holger Rune
Mackenzie Mcdonald|Brandon Nakashima
Taro Daniel|Casper Ruud
Michael Mmoh|Marcos Giron
Feliciano Lopez|Christopher Eubanks
Elias Ymer|Adrian Mannarino
Jacopo Berrettini|Oscar Otte
Taro Daniel|J J Wolf
Daniil Medvedev|Andrey Rublev
Daniil Medvedev|Novak Djokovic
Lorenzo Sonego|Felix Auger Aliassime
Pavel Kotov|Alexei Popyrin
Thanasi Kokkinakis|Quentin Halys
Christopher Oconnell|Emil Ruusuvuori
Lorenzo Sonego|Marc Andrea Huesler
Botic Van De Zandschulp|Karen Khachanov
Nicolas Jarry|Tomas Martin Etcheverry
Nicolas Jarry|Jaume Munar
Tomas Martin Etcheverry|Sebastian Baez
Tomas Martin Etcheverry|Dusan Lajovic
Jaume Munar|Lorenzo Musetti
Nicolas Jarry|Diego Schwartzman
Yannick Hanfmann|Roberto Carballes Baena
Tomas Martin Etcheverry|Francisco Cerundolo
Thiago Monteiro|Albert Ramos
Nicolas Jarry|Juan Pablo Varillas
Yannick Hanfmann|Pedro Martinez
Riccardo Bonadio|Daniel Elahi Galan
Cristian Garin|Dominic Thiem
Juan Manuel Cerundolo|Pedro Cachin
Jannik Sinner|Taylor Fritz
Frances Tiafoe|Cameron Norrie
Cameron Norrie|Andrey Rublev
Jack Draper|Andy Murray
Tommy Paul|Hubert Hurkacz
Marton Fucsovics|Alex Molcan
Stan Wawrinka|Holger Rune
Alejandro Davidovich Fokina|Karen Khachanov
Cristian Garin|Casper Ruud
Alejandro Tabilo|Jordan Thompson
Jack Draper|Daniel Evans
