winner_name|loser_name
Taylor Fritz|Matteo Berrettini
Frances Tiafoe|Lorenzo Musetti
Taylor Fritz|Hubert Hurkacz
Frances Tiafoe|Kacper Zuk
Stefanos Tsitsipas|Matteo Berrettini
Lorenzo Musetti|Stefanos Sakellaridis
Stefanos Tsitsipas|Borna Coric
Borna Gojo|Stefanos Sakellaridis
Lorenzo Musetti|Daniel Michalski
Frances Tiafoe|Daniel Evans
Stefanos Tsitsipas|David Goffin
Stefanos Tsitsipas|Grigor Dimitrov
Dimitar Kuzmanov|Michail Pervolarakis
Grigor Dimitrov|David Goffin
Hubert Hurkacz|Stan Wawrinka
Marc Andrea Huesler|Daniel Michalski
Hubert Hurkacz|Alexander Bublik
Timofey Skatov|Daniel Michalski
Marc Andrea Huesler|Timofey Skatov
Taylor Fritz|Alexander Zverev
Frances Tiafoe|Oscar Otte
Taylor Fritz|Jiri Lehecka
Frances Tiafoe|Tomas Machac
Oscar Otte|Dalibor Svrcina
Daniel Evans|Albert Ramos
Cameron Norrie|Alex De Minaur
Matteo Berrettini|Thiago Monteiro
Lorenzo Musetti|Felipe Meligeni Alves
Lorenzo Musetti|Viktor Durasovic
Casper Ruud|Thiago Monteiro
Felipe Meligeni Alves|Viktor Durasovic
Borna Coric|Arthur Rinderknech
Adrian Mannarino|Federico Coria
Borna Coric|Francisco Cerundolo
Novak Djokovic|Sebastian Korda
Novak Djokovic|Daniil Medvedev
Sebastian Korda|Yoshihito Nishioka
Novak Djokovic|Denis Shapovalov
Daniil Medvedev|Karen Khachanov
Yoshihito Nishioka|Alexei Popyrin
Novak Djokovic|Quentin Halys
Denis Shapovalov|Roman Safiullin
Daniil Medvedev|Miomir Kecmanovic
Karen Khachanov|Jack Draper
Jannik Sinner|Thanasi Kokkinakis
Yoshihito Nishioka|Mackenzie Mcdonald
Novak Djokovic|Constant Lestienne
Quentin Halys|Jordan Thompson
Denis Shapovalov|Rinky Hijikata
Daniil Medvedev|Lorenzo Sonego
Miomir Kecmanovic|Christopher Oconnell
Jack Draper|Soon Woo Kwon
Karen Khachanov|Pedro Cachin
Jannik Sinner|Kyle Edmund
Sebastian Korda|Andy Murray
Mackenzie Mcdonald|Daniel Elahi Galan
Marcos Giron|Richard Gasquet
Aslan Karatsev|Pedro Martinez
Botic Van De Zandschulp|Maximilian Marterer
Marin Cilic|Roberto Carballes Baena
Tallon Griekspoor|Marco Cecchinato
Aslan Karatsev|Tim Van Rijthoven
Filip Krajinovic|Michael Mmoh
Botic Van De Zandschulp|Flavio Cobolli
Pedro Martinez|Ramkumar Ramanathan
Aslan Karatsev|Pablo Andujar
Filip Krajinovic|Sumit Nagal
Benjamin Bonzi|Chun Hsin Tseng
Flavio Cobolli|Sasi Kumar Mukund
Cameron Norrie|Jenson Brooksby
Constant Lestienne|Laslo Djere
Jenson Brooksby|Quentin Halys
Cameron Norrie|Marcos Giron
Constant Lestienne|Gregoire Barrere
Richard Gasquet|Joao Sousa
David Goffin|Christopher Eubanks
Quentin Halys|Ben Shelton
Marcos Giron|J J Wolf
Cameron Norrie|Jiri Lehecka
Richard Gasquet|Kiranpal Pannu
Jenson Brooksby|Fabio Fognini
Marcos Giron|Federico Coria
Roberto Bautista Agut|Thanasi Kokkinakis
Roberto Bautista Agut|Alejandro Davidovich Fokina
Miomir Kecmanovic|Jason Kubler
Roberto Bautista Agut|Robin Haase
Alejandro Davidovich Fokina|John Millman
Karen Khachanov|Marc Andrea Huesler
Thanasi Kokkinakis|Alexei Popyrin
Miomir Kecmanovic|Kyle Edmund
Alejandro Davidovich Fokina|Brandon Nakashima
Tommy Paul|Christopher Oconnell
Jack Draper|Lorenzo Sonego
Soon Woo Kwon|Tomas Machac
Rafael Nadal|Jack Draper
Yoshihito Nishioka|Mikael Ymer
Karen Khachanov|Bernabe Zapata Miralles
Frances Tiafoe|Daniel Altmaier
Hubert Hurkacz|Pedro Martinez
Lorenzo Sonego|Nuno Borges
Taro Daniel|Ernesto Escobedo
Denis Shapovalov|Dusan Lajovic
Sebastian Korda|Cristian Garin
Daniil Medvedev|Marcos Giron
Stefanos Tsitsipas|Quentin Halys
Tallon Griekspoor|Pavel Kotov
Botic Van De Zandschulp|Ilya Ivashka
Tomas Martin Etcheverry|Gregoire Barrere
Jannik Sinner|Kyle Edmund
Cameron Norrie|Luca Van Assche
Constant Lestienne|Thiago Monteiro
Corentin Moutet|Yibing Wu
Alex Molcan|Stan Wawrinka
Felix Auger Aliassime|Vasek Pospisil
Andrey Rublev|Dominic Thiem
Emil Ruusuvuori|Max Purcell
Daniel Evans|Facundo Bagnis
Holger Rune|Filip Krajinovic
Pablo Carreno Busta|Pedro Cachin
Benjamin Bonzi|Mattia Bellucci
Alex De Minaur|Yu Hsiou Hsu
Grigor Dimitrov|Aslan Karatsev
Laslo Djere|Zizou Bergs
Novak Djokovic|Roberto Carballes Baena
Taylor Fritz|Nikoloz Basilashvili
Alexei Popyrin|Chun Hsin Tseng
Ben Shelton|Zhizhen Zhang
Diego Schwartzman|Oleksii Krutykh
J J Wolf|Jordan Thompson
Michael Mmoh|Laurent Lokoli
Alexander Zverev|Juan Pablo Varillas
Roberto Bautista Agut|Joao Sousa
Alejandro Davidovich Fokina|Alexander Bublik
Tommy Paul|Jan Lennard Struff
Jenson Brooksby|Christopher Oconnell
Casper Ruud|Tomas Machac
Yoshihito Nishioka|Dalibor Svrcina
Karen Khachanov|Jason Kubler
Frances Tiafoe|Juncheng Shang
Hubert Hurkacz|Lorenzo Sonego
Denis Shapovalov|Taro Daniel
Sebastian Korda|Yosuke Watanuki
Daniil Medvedev|John Millman
Stefanos Tsitsipas|Rinky Hijikata
Marton Fucsovics|Lloyd Harris
Jannik Sinner|Tomas Martin Etcheverry
Cameron Norrie|Constant Lestienne
Jiri Lehecka|Christopher Eubanks
Francisco Cerundolo|Corentin Moutet
Felix Auger Aliassime|Alex Molcan
Andrey Rublev|Emil Ruusuvuori
Ugo Humbert|Denis Kudla
Holger Rune|Maxime Cressy
Alex De Minaur|Adrian Mannarino
Grigor Dimitrov|Laslo Djere
Novak Djokovic|Enzo Couacaud
Ben Shelton|Nicolas Jarry
Andy Murray|Thanasi Kokkinakis
Roberto Bautista Agut|Brandon Holt
Yoshihito Nishioka|Mackenzie Mcdonald
Hubert Hurkacz|Denis Shapovalov
Stefanos Tsitsipas|Tallon Griekspoor
Jannik Sinner|Marton Fucsovics
Felix Auger Aliassime|Francisco Cerundolo
Andrey Rublev|Daniel Evans
Holger Rune|Ugo Humbert
Alex De Minaur|Benjamin Bonzi
Novak Djokovic|Grigor Dimitrov
Ben Shelton|Alexei Popyrin
J J Wolf|Michael Mmoh
Roberto Bautista Agut|Andy Murray
Tommy Paul|Jenson Brooksby
Karen Khachanov|Yoshihito Nishioka
Stefanos Tsitsipas|Jannik Sinner
Andrey Rublev|Holger Rune
Novak Djokovic|Alex De Minaur
Karen Khachanov|Sebastian Korda
Stefanos Tsitsipas|Jiri Lehecka
Novak Djokovic|Andrey Rublev
Tommy Paul|Ben Shelton
Stefanos Tsitsipas|Karen Khachanov
Novak Djokovic|Tommy Paul
Sebastian Baez|Federico Coria
Sebastian Baez|Hugo Dellien
Sebastian Baez|Tomas Barrios Vera
Albert Ramos|Joao Sousa
Hugo Dellien|Guido Pella
Sebastian Baez|Luciano Darderi
Albert Ramos|Dusan Lajovic
Federico Coria|Marco Cecchinato
Francisco Cerundolo|Federico Delbonis
Juan Manuel Cerundolo|Pablo Andujar
Bernabe Zapata Miralles|Roberto Carballes Baena
Dusan Lajovic|Juan Pablo Varillas
